"x"
"1"	"ADJ ADJ ADJ"
"2"	"ADJ ADJ ADP"
"3"	"ADJ ADJ ADV"
"4"	"ADJ ADJ CONJ"
"5"	"ADJ ADJ DET"
"6"	"ADJ ADJ NOUN"
"7"	"ADJ ADJ NUM"
"8"	"ADJ ADJ PRON"
"9"	"ADJ ADJ PRT"
"10"	"ADJ ADJ VERB"
"11"	"ADJ ADP ADJ"
"12"	"ADJ ADP ADP"
"13"	"ADJ ADP ADV"
"14"	"ADJ ADP DET"
"15"	"ADJ ADP NOUN"
"16"	"ADJ ADP NUM"
"17"	"ADJ ADP PRON"
"18"	"ADJ ADP VERB"
"19"	"ADJ ADV ADJ"
"20"	"ADJ ADV ADP"
"21"	"ADJ ADV ADV"
"22"	"ADJ ADV CONJ"
"23"	"ADJ ADV DET"
"24"	"ADJ ADV NOUN"
"25"	"ADJ ADV NUM"
"26"	"ADJ ADV PRON"
"27"	"ADJ ADV PRT"
"28"	"ADJ ADV VERB"
"29"	"ADJ CONJ ADJ"
"30"	"ADJ CONJ ADP"
"31"	"ADJ CONJ ADV"
"32"	"ADJ CONJ CONJ"
"33"	"ADJ CONJ DET"
"34"	"ADJ CONJ NOUN"
"35"	"ADJ CONJ NUM"
"36"	"ADJ CONJ PRON"
"37"	"ADJ CONJ PRT"
"38"	"ADJ CONJ VERB"
"39"	"ADJ DET ADJ"
"40"	"ADJ DET ADP"
"41"	"ADJ DET ADV"
"42"	"ADJ DET CONJ"
"43"	"ADJ DET NOUN"
"44"	"ADJ DET PRON"
"45"	"ADJ DET VERB"
"46"	"ADJ NOUN ADJ"
"47"	"ADJ NOUN ADP"
"48"	"ADJ NOUN ADV"
"49"	"ADJ NOUN CONJ"
"50"	"ADJ NOUN DET"
"51"	"ADJ NOUN NOUN"
"52"	"ADJ NOUN NUM"
"53"	"ADJ NOUN PRON"
"54"	"ADJ NOUN PRT"
"55"	"ADJ NOUN VERB"
"56"	"ADJ NUM CONJ"
"57"	"ADJ NUM NOUN"
"58"	"ADJ NUM NUM"
"59"	"ADJ NUM PRON"
"60"	"ADJ NUM PRT"
"61"	"ADJ NUM VERB"
"62"	"ADJ PRON ADJ"
"63"	"ADJ PRON ADP"
"64"	"ADJ PRON ADV"
"65"	"ADJ PRON CONJ"
"66"	"ADJ PRON DET"
"67"	"ADJ PRON NOUN"
"68"	"ADJ PRON PRON"
"69"	"ADJ PRON PRT"
"70"	"ADJ PRON VERB"
"71"	"ADJ PRT ADJ"
"72"	"ADJ PRT ADP"
"73"	"ADJ PRT ADV"
"74"	"ADJ PRT CONJ"
"75"	"ADJ PRT DET"
"76"	"ADJ PRT PRON"
"77"	"ADJ PRT PRT"
"78"	"ADJ PRT VERB"
"79"	"ADJ VERB ADJ"
"80"	"ADJ VERB ADP"
"81"	"ADJ VERB ADV"
"82"	"ADJ VERB CONJ"
"83"	"ADJ VERB DET"
"84"	"ADJ VERB NOUN"
"85"	"ADJ VERB NUM"
"86"	"ADJ VERB PRON"
"87"	"ADJ VERB PRT"
"88"	"ADJ VERB VERB"
"89"	"ADP ADJ ADJ"
"90"	"ADP ADJ ADP"
"91"	"ADP ADJ ADV"
"92"	"ADP ADJ CONJ"
"93"	"ADP ADJ DET"
"94"	"ADP ADJ NOUN"
"95"	"ADP ADJ NUM"
"96"	"ADP ADJ PRON"
"97"	"ADP ADJ PRT"
"98"	"ADP ADJ VERB"
"99"	"ADP ADP ADJ"
"100"	"ADP ADP ADP"
"101"	"ADP ADP ADV"
"102"	"ADP ADP DET"
"103"	"ADP ADP NOUN"
"104"	"ADP ADP NUM"
"105"	"ADP ADP PRON"
"106"	"ADP ADV ADJ"
"107"	"ADP ADV ADP"
"108"	"ADP ADV ADV"
"109"	"ADP ADV CONJ"
"110"	"ADP ADV DET"
"111"	"ADP ADV NOUN"
"112"	"ADP ADV NUM"
"113"	"ADP ADV PRON"
"114"	"ADP ADV PRT"
"115"	"ADP ADV VERB"
"116"	"ADP CONJ ADJ"
"117"	"ADP CONJ ADP"
"118"	"ADP CONJ ADV"
